City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount pearl,47.5166,-52.7813,33.46,96,100,24.16,CA,1707110014
1,port lincoln,-34.7333,135.8667,66.6,51,4,20.83,AU,1707110014
2,zliten,32.4674,14.5687,55.29,77,0,12.06,LY,1707110014
3,kayangel,8.0823,134.7173,80.53,84,100,18.43,PW,1707110015
4,hafar al-batin,28.4328,45.9708,46.98,61,0,4.61,SA,1707110015
5,kristiansund,63.1115,7.732,30.85,93,100,5.75,NO,1707110015
6,aden,12.7794,45.0367,78.12,69,76,9.93,YE,1707110015
7,qarauyl,48.9451,79.255,21.31,70,80,10.65,KZ,1707110016
8,jurm,36.8648,70.8342,30.02,56,30,5.19,AF,1707110016
9,port-aux-francais,-49.35,70.2167,41.92,72,62,20.98,TF,1707110016
10,uusikaupunki,60.8004,21.4084,25.83,91,9,7.4,FI,1707110016
11,santana,-0.0583,-51.1817,80.78,89,0,2.3,BR,1707110017
12,puerto natales,-51.7236,-72.4875,46.65,83,96,20.22,CL,1707110017
13,paris,48.8534,2.3488,50.43,81,100,12.66,FR,1707109953
14,lompoc,34.6391,-120.4579,59.14,82,75,11.5,US,1707110017
15,iqaluit,63.7506,-68.5145,-14.31,75,100,0.0,CA,1707110018
16,puerto ayora,-0.7393,-90.3518,74.55,100,60,7.85,EC,1707110018
17,susuman,62.7833,148.1667,-8.01,77,100,3.0,RU,1707110018
18,port mathurin,-19.6833,63.4167,79.43,62,10,8.55,MU,1707110018
19,mezhdurechenskiy,59.6,65.9333,-5.71,99,99,3.67,RU,1707110018
20,edinburgh of the seven seas,-37.0676,-12.3116,59.52,75,28,11.61,SH,1707110019
21,hamilton,39.1834,-84.5333,40.93,75,0,11.5,US,1707110019
22,klyuchi,52.2667,79.1667,22.8,85,100,12.06,RU,1707110019
23,avarua,-21.2078,-159.775,80.65,78,40,8.05,CK,1707109803
24,milagres,-7.3133,-38.9456,72.39,70,14,3.11,BR,1707110019
25,yellowknife,62.456,-114.3525,-23.28,76,0,4.61,CA,1707110020
26,whitehorse,60.7161,-135.0538,-8.63,64,100,3.44,CA,1707110020
27,camana,-16.6228,-72.7111,75.74,83,39,2.86,PE,1707110020
28,korla,41.7597,86.1469,27.57,63,100,3.78,CN,1707110020
29,bamboo flat,11.7,92.7167,84.29,70,20,9.22,IN,1707110021
30,urzhar,47.093,81.6294,25.07,70,92,1.23,KZ,1707110021
31,waitangi,-43.9535,-176.5597,67.82,81,66,10.33,NZ,1707110021
32,aktobe,50.2797,57.2072,33.89,86,100,24.61,KZ,1707110021
33,hermanus,-34.4187,19.2345,70.81,86,4,1.74,ZA,1707110021
34,xilin hot,43.9667,116.0333,21.61,92,100,7.81,CN,1707110022
35,papatowai,-46.5619,169.4708,72.36,55,94,7.99,NZ,1707110022
36,al mahwit,15.4701,43.5448,55.62,83,56,2.08,YE,1707110022
37,albany,42.6001,-73.9662,27.63,72,7,1.01,US,1707110022
38,acarau,-2.8856,-40.12,81.14,76,11,15.1,BR,1707109764
39,hawaiian paradise park,19.5933,-154.9731,68.04,93,100,9.22,US,1707110022
40,chibougamau,49.9168,-74.3659,-2.58,84,0,0.0,CA,1707109964
41,utrik,11.2278,169.8474,78.93,80,95,18.72,MH,1707110023
42,charlottetown,46.2352,-63.1267,34.18,96,100,27.0,CA,1707109836
43,szerencs,48.1667,21.2,50.52,75,100,17.0,HU,1707110024
44,mil'kovo,55.6078,37.7956,28.8,98,92,4.52,RU,1707110024
45,luderitz,-26.6481,15.1594,64.09,88,4,3.89,NA,1707110024
46,tralee,52.2704,-9.7026,49.66,87,98,10.83,IE,1707110025
47,bethel,41.3712,-73.414,34.93,63,0,3.44,US,1707110025
48,mikun',62.3547,50.0771,0.12,96,100,7.81,RU,1707110026
49,sabha,27.0377,14.4283,46.69,58,1,8.37,LY,1707110026
50,adamstown,-25.066,-130.1015,77.04,82,100,5.88,PN,1707110026
51,rongelap,11.1635,166.8941,79.12,74,100,19.57,MH,1707110027
52,bereznik,62.8551,42.7072,6.24,92,100,7.54,RU,1707110027
53,blackmans bay,-43.0167,147.3167,71.73,39,32,3.0,AU,1707110027
54,isangel,-19.55,169.2667,79.99,89,100,12.1,VU,1707110028
55,ghadamis,30.1337,9.5007,48.94,62,0,6.93,LY,1707110028
56,west island,-12.1568,96.8225,82.38,94,75,4.61,CC,1707110028
57,verkh-chebula,56.0308,87.6218,27.21,82,100,16.24,RU,1707110028
58,qaqortoq,60.7167,-46.0333,-7.24,67,0,5.97,GL,1707110028
59,saipan,15.1355,145.701,84.9,61,40,20.71,MP,1707110029
60,wailua homesteads,22.0669,-159.378,72.03,70,100,17.27,US,1707110029
61,altay,47.8667,88.1167,17.17,74,100,1.01,CN,1707110029
62,greenville,35.6127,-77.3663,38.12,90,0,0.0,US,1707109838
63,les cayes,18.2,-73.75,74.32,88,33,4.88,HT,1707110030
64,angren,41.0167,70.1436,36.66,61,100,5.23,UZ,1707110030
65,talnakh,69.4865,88.3972,1.2,95,100,10.8,RU,1707110030
66,port elizabeth,-33.918,25.5701,68.31,95,100,4.61,ZA,1707110031
67,atafu village,-8.5421,-172.5159,82.71,82,100,25.57,TK,1707110031
68,pamandzi,-12.7967,45.2794,82.18,89,75,5.75,YT,1707110031
69,grytviken,-54.2811,-36.5092,36.9,64,12,10.31,GS,1707110031
70,hithadhoo,-0.6,73.0833,82.85,77,98,12.97,MV,1707110031
71,tiksi,71.6872,128.8694,-27.33,100,70,1.28,RU,1707110032
72,anadyr,64.75,177.4833,-1.7,78,0,2.24,RU,1707110032
73,castillos,-34.1667,-53.8333,63.72,77,3,5.66,UY,1707110032
74,lihue,21.9789,-159.3672,72.64,69,100,17.27,US,1707110032
75,awjilah,29.1081,21.2869,50.97,67,1,7.27,LY,1707110032
76,moussoro,13.6408,16.4901,62.67,17,99,16.31,TD,1707110033
77,cabo san lucas,22.8909,-109.9124,68.5,72,0,6.87,MX,1707110033
78,bonga,7.2833,36.2333,61.3,97,100,2.33,ET,1707110033
79,bestobe,52.4994,73.0975,23.95,88,100,17.36,KZ,1707110033
80,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,75,75,8.99,RU,1707110033
81,hadibu,12.65,54.0333,79.23,65,61,14.63,YE,1707110034
82,vilkaviskis,54.6517,23.0322,37.2,84,93,19.13,LT,1707110034
83,port alfred,-33.5906,26.891,74.57,71,0,3.83,ZA,1707110034
84,fuyuan,46.4333,127.0833,8.22,81,62,6.58,CN,1707110034
85,la'ie,21.6477,-157.9253,75.16,76,36,11.99,US,1707110034
86,yuzhno-kurilsk,44.0306,145.8556,21.38,60,100,22.06,RU,1707110035
87,laojunmiao,39.8333,97.7333,24.12,43,0,6.38,CN,1707110035
88,craig,40.5153,-107.5464,19.02,92,0,0.0,US,1707109826
89,georgetown,5.4112,100.3354,89.53,62,20,5.75,MY,1707110035
90,dali,25.7,100.1833,54.82,45,8,8.93,CN,1707110035
91,kaa-khem,51.6833,94.7333,-15.59,95,100,1.81,RU,1707110036
92,ribeira grande,38.5167,-28.7,63.77,96,100,14.0,PT,1707110036
93,brisas de zicatela,15.8369,-97.0419,74.97,67,0,5.93,MX,1707110036
94,vilyuchinsk,52.9306,158.4028,25.07,74,100,1.72,RU,1707110036
95,juneau,58.3019,-134.4197,36.1,97,100,5.75,US,1707110036
96,ta`u,-14.2336,-169.5144,82.9,80,100,16.51,AS,1707110037
97,pratapgarh,24.0333,74.7833,72.46,54,5,1.01,IN,1707110037
98,delano,35.7688,-119.247,61.38,58,100,11.5,US,1707110037
99,udachny,66.4167,112.4,-6.56,69,90,4.74,RU,1707110037
100,tvoroyri,61.5556,-6.8111,35.67,54,100,7.49,FO,1707110038
101,nova vicosa,-17.8919,-39.3719,76.21,88,100,4.07,BR,1707110038
102,lezajsk,50.2626,22.4193,43.21,95,100,19.86,PL,1707110038
103,namibe,-15.1961,12.1522,77.81,78,100,6.6,AO,1707110038
104,varias,46.0167,20.95,47.21,89,100,10.78,RO,1707110039
105,iisalmi,63.5592,27.1907,20.46,96,100,4.43,FI,1707110039
106,uturoa,-16.7333,-151.4333,80.2,82,100,7.85,PF,1707110040
107,birzebbuga,35.8258,14.5269,57.88,82,75,12.66,MT,1707110040
